Method,Sample,Fr_Water,Cut,Strength,Unit,Horizon
TV,1,0.036842695,2,1,A,C
TV,2,0.057239973,1,1.75,A,C
TV,3,0.044583937,2,1.5,B,A
TV,4,0.06187112,1,1.5,B,A
TV,5,0.053903346,2,1.5,C,C
TV,6,0.062728826,1,0.625,C,C
TV,7,0.059979633,2,1.025,D,A
TV,8,0.048855686,1,0.65,D,A
TV,9,0.07895888,2,0.75,E,C
TV,10,0.072933999,1,0.75,E,C
TV,11,0.071890063,2,0.5,F,A
TV,12,0.100189791,1,0.95,F,A
TV,13,0.040705091,2,1,H,C
TV,14,0.087701223,2,1.5,H,C
TV,15,0.087107086,1,1,H,C
TV,16,0.042363567,1,0.74,A,C
TV,17,0.043844165,1,0.4,A,C
TV,18,0.112002815,1,0.31,B,A
TV,19,0.022191069,0,0.75,F,A
TV,20,0.098377459,2,0.6,F,A
TV,21,0.122669246,1,0.86,F,A
TV,22,0.015786145,0,0.6,A,C
TV,23,0.021827411,0,0.49,B,A
TV,24,0.066024359,2,0.4,B,A
TV,25,0.016584756,0,0.33,E,C
TV,26,0.075878285,2,0.53,E,C
TV,27,0.056914824,1,0.8,F,A
TV,28,0.055780875,1,0.7,F,A
PP,1,0.036842695,2,1.6,A,C
PP,2,0.057239973,1,3.75,A,C
PP,3,0.044583937,2,5,B,A
PP,4,0.06187112,1,3.75,B,A
PP,5,0.053903346,2,4.05,C,C
PP,6,0.062728826,1,2.05,C,C
PP,7,0.059979633,2,2.6,D,A
PP,8,0.048855686,1,3.625,D,A
PP,9,0.07895888,2,0.9,E,C
PP,10,0.072933999,1,0.75,E,C
PP,11,0.071890063,2,2.625,F,A
PP,12,0.100189791,1,2.675,F,A
PP,14,0.087701223,2,2.15,H,C
PP,15,0.087107086,1,1.775,H,C
PP,16,0.042363567,1,3.625,A,C
PP,17,0.043844165,1,2.875,A,C
PP,18,0.112002815,1,1,B,A
PP,19,0.022191069,0,2,F,A
PP,20,0.098377459,2,1.625,F,A
PP,21,0.122669246,1,2.25,F,A
PP,22,0.015786145,0,4.125,A,C
PP,23,0.021827411,0,3.025,B,A
PP,24,0.066024359,2,2.875,B,A
PP,25,0.016584756,0,1.375,E,C
PP,26,0.075878285,2,2.75,E,C
PP,27,0.056914824,1,2.5,F,A
PP,28,0.055780875,1,4,F,A
